url,video_id,reason
https://www.youtube.com/watch?v=BoVXS7e0NRw&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1454,BoVXS7e0NRw,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=BoVXS7e0NRw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=ARAT9HQY6e4&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1448,ARAT9HQY6e4,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ARAT9HQY6e4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=ScQpmajQZmY&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2453,ScQpmajQZmY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ScQpmajQZmY! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=aLRIQADKrak&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1444,aLRIQADKrak,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=aLRIQADKrak! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=EF6GrPaiOlk&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2452,EF6GrPaiOlk,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=EF6GrPaiOlk! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=-WL2Ue7hGa0&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1443,-WL2Ue7hGa0,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=-WL2Ue7hGa0! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=w-1LAv6stBs&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2450,w-1LAv6stBs,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=w-1LAv6stBs! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=QtZ7uat5ByU&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2451,QtZ7uat5ByU,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=QtZ7uat5ByU! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=vNZtibrPo0g&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1438,vNZtibrPo0g,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=vNZtibrPo0g! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=fMqeDBjZ6C4&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2454,fMqeDBjZ6C4,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=fMqeDBjZ6C4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=SO-jiCZWfEw&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1435,SO-jiCZWfEw,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=SO-jiCZWfEw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=okl266f1LBg&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1418,okl266f1LBg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=okl266f1LBg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
